Identificador;Categoria {pt-br};Categoria {en-us};SubCategoria {pt-br};SubCategoria {en-us};Agrupador {pt-br};Grouper {en-us};Objeto {pt-br};Object {en-us};Serviço {pt-br};Service {en-us};Complemento {pt-br};Complement {en-us};Descrição {pt-br};Descrição {en-us};Esforço;Atendimento Corporativo;SLA;Grupo solucionador;Comnetários {pt-br};Comentários - {en-us};Quem Solicita - Ninguém;Quem Solicita - Todos;Quem solicita - TI;Quem solicita - Servicedesk;Quem solicita - Governança;Quem solicita - Key user;Quem solicita - DHO;Quem solicita - VSC;Quem solicita - GQ;Aprovação - Líder;Aprovação - Coord Grupo Soluc.;Aprovação - Diretor;Aprovação - Gerente;Aprovação - Gerente TI;Aprovação - Dono;Aprovação - Adicional;TipoServiço;Automatizado;Automatizado - Preparação;Automatizado - complemento
ITSM-CS-0000001;DTI - Automação - Administrativo;ITD - Automation - Administrative;Governança;Governance;Automação;Automation;Automação - Administrativo;Automation - Administrative;Atividades administrativas - Analistas;Administratives Activities - Analist;Acompanhamento dos KPIs;KPIs Monitoring;Reunião para acompanhamento dos indiscadores e análise dos FCAs;Reunião para acompanhamento dos indiscadores e análise dos FCAs;4;;999;AUTOMACAO;Reunião para acompanhamento dos indiscadores e análise dos FCAs;Reunião para acompanhamento dos indiscadores e análise dos FCAs;1,00;;;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000002;DTI - Automação - Administrativo;ITD - Automation - Administrative;Governança;Governance;Automação;Automation;Automação - Administrativo;Automation - Administrative;Atividades administrativas - Analistas;Administratives Activities - Analist;N/A;N/A;Registro das atividades inerentes a sua função;Record of activities inherent to their function;24;;999;AUTOMACAO;Registro das atividades inerentes a sua função;Record of activities inherent to their function;1,00;;;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000003;DTI - Automação - Administrativo;ITD - Automation - Administrative;core;core;Automação;Automation;Automação - Administrativo;Automation - Administrative;Atividades administrativas - Analistas;Administratives Activities - Analist;reunião semanal - Sprints;reunião semanal - Sprints;Reunião para conhecimentos das atividades a serem desenvolvidas na semana.;Meeting for knowledge / definition of activities to be developed during the week.;4;;999;AUTOMACAO;Reunião para conhecimentos das atividades a serem desenvolvidas na semana.;Meeting for knowledge / definition of activities to be developed during the week.;1,00;;;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000004;DTI - Automação - Administrativo;ITD - Automation - Administrative;Governança;Governance;Automação;Automation;Automação - Administrativo;Automation - Administrative;Atividades administrativas - coordenação;Administratives Activities - Coodinator;Acompanhamento dos KPIs;Acompanhamento dos KPIs;Reunião para acompanhamento dos indiscadores e análise dos FCAs;Reunião para acompanhamento dos indiscadores e análise dos FCAs;4;;999;AUTOMACAO;Reunião para acompanhamento dos indiscadores e análise dos FCAs;Reunião para acompanhamento dos indiscadores e análise dos FCAs;1,00;;;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000005;DTI - Automação - Administrativo;ITD - Automation - Administrative;core;core;Automação;Automation;Automação - Administrativo;Automation - Administrative;Atividades administrativas - coordenação;Administratives Activities - Coodinator;Alinhamento estratégico;Alinhamento estratégico;Registro das reuniões com os principais stakeholders da Automação (produção, laboratório, engenharia, manutenção, qualidade, validação, TI);Record of meetings with the main Automation stakeholders (production, laboratory, engineering, maintenance, quality, validation, IT);10;;999;AUTOMACAO;Registro das reuniões com os principais stakeholders da Automação (produção, laboratório, engenharia, manutenção, qualidade, validação, TI);Record of meetings with the main Automation stakeholders (production, laboratory, engineering, maintenance, quality, validation, IT);1,00;;;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000006;DTI - Automação - Administrativo;ITD - Automation - Administrative;Governança;Governance;Automação;Automation;Automação - Administrativo;Automation - Administrative;Atividades administrativas - coordenação;Administratives Activities - Coodinator;Análise de processos e procedimentos;Análise de processos e procedimentos;Estudo, análise e reesruturação dos processos e procedimentos da automação;Study, analysis and restructuring of automation processes and procedures;20;;999;AUTOMACAO;Estudo, análise e reesruturação dos processos e procedimentos da automação;Study, analysis and restructuring of automation processes and procedures;1,00;;;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000007;DTI - Automação - Administrativo;ITD - Automation - Administrative;Governança;Governance;Automação;Automation;Automação - Administrativo;Automation - Administrative;Atividades administrativas - coordenação;Administratives Activities - Coodinator;N/A;N/A;Registro das atividades inerentes a sua função;Record of activities inherent to their function;24;;999;AUTOMACAO;Registro das atividades inerentes a sua função;Record of activities inherent to their function;1,00;;;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000008;DTI - Automação - Administrativo;ITD - Automation - Administrative;core;core;Automação;Automation;Automação - Administrativo;Automation - Administrative;Atividades administrativas - coordenação;Administratives Activities - Coodinator;reunião semanal - Sprints;reunião semanal - Sprints;Reunião para conhecimento / definição das atividades a serem desenvolvidas na semana.;Meeting for knowledge / definition of activities to be developed during the week.;4;;999;AUTOMACAO;Reunião para conhecimento / definição das atividades a serem desenvolvidas na semana.;Meeting for knowledge / definition of activities to be developed during the week.;1,00;;;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000864;DTI - Automação - Administrativo;ITD - Automation - Administrative;Governança;Governance;Automação;Automation;Inovação;Inovation;Atividades TI;IT Activities;N/A;N/A;Atividades de P&D para melhorias, estudos de novas soluções etc;Activities for improvements, studies of new solutions etc.;40;1;999;AUTOMACAO;N/A;N/A;1,00;;;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000974;DTI - Automação - Administrativo;ITD - Automation - Administrative;core;core;Automação;Automation;Automação - Administrativo;Automation - Administrative;Atividades administrativas - coordenação;Administratives Activities - Coordinator;Investigação de Problema;Problem Investigation;Análise de Causa Raiz;Cause Analysis;40;1;999;COORDAUTOMACAO;N/A;N/A;1,00;;;;;;;;;;;;;;;;Problema;;;
